name,signal,registration,country,category,length,port,mmsi
LA JULIA,,1193,Argentina,"RADA O RIA, FRESQUERO",13.9,,NA
LA PASCUALA,,1178,Argentina,"RADA O RIA, FRESQUERO",13.25,,NA
LA SANTA MARIA I,,2324,Argentina,"COSTEROS, FRESQUERO",22.89,,NA
LANZA SECA,,1181,Argentina,"ALTURA, FRESQUERO",24.8,,NA
LAS DOS HERMANAS,,967,Argentina,"RADA O RIA, FRESQUERO",12.97,,NA
LEAL,,143,Argentina,"ALTURA, FRESQUERO",27.45,,NA
LEKHAN I,,752,Argentina,"RADA O RIA, FRESQUERO",18.45,,NA
LEOAN,,894,Argentina,"COSTEROS, FRESQUERO",17.5,,NA
LIBERTAD,,355,Argentina,"COSTEROS, FRESQUERO",18.2,,NA
LILIANA,,0206F,Argentina,"RADA O RIA, FRESQUERO",14.43,,NA
LUCILA DEL MAR,,2539,Argentina,"COSTEROS, FRESQUERO",12.92,,NA
MABEL,,206,Argentina,"RADA O RIA, FRESQUERO",15.52,,NA
MADONNA DI GIARDINI,,1507,Argentina,"RADA O RIA, FRESQUERO",16.15,,NA
MADONNINA DEL MARE,,1112,Argentina,"COSTEROS, FRESQUERO",23.78,,NA
MADRE INMACULADA,,2378,Argentina,"ALTURA,PROC.CONGELADOR",62.8,,NA
MADRE MARGARITA,,2728,Argentina,"ALTURA, FRESQUERO",25.6,,NA
MAL LLEVADO,,646,Argentina,"RADA O RIA, FRESQUERO",9.6,,NA
MAMA ROSA,,964,Argentina,"RADA O RIA, FRESQUERO",16.15,,NA
MANTO SAGRADO,,60,Argentina,"RADA O RIA, FRESQUERO",15.08,,NA
MAR AZUL,,934,Argentina,"ALTURA, FRESQUERO",47.45,,NA
MAR DE ORO,,548,Argentina,"ALTURA,PROC.CONGELADOR",28.2,,NA
MAR MARÍA,,2960,Argentina,"ALTURA,PROC.CONGELADOR",37.8,,NA
MARIA DEL VALLE,,2126,Argentina,"COSTEROS, FRESQUERO",16.29,,NA
MARIA FLORENCIA,,1746,Argentina,"COSTEROS, FRESQUERO",22.6,,NA
MARIA JOSEFINA,,771,Argentina,"RADA O RIA, FRESQUERO",13,,NA
MARIA MARTA,,774,Argentina,"RADA O RIA, FRESQUERO",13.2,,NA
MARIA ROSA,,1068,Argentina,"RADA O RIA, FRESQUERO",12.99,,NA
MARIA SOLEDAD,,570,Argentina,"COSTEROS, FRESQUERO",22.3,,NA
MARIA SUSANA,,2103,Argentina,"COSTEROS, FRESQUERO",15.3,,NA
MARILUZ,,958,Argentina,"RADA O RIA, FRESQUERO",15.46,,NA
MARTA S,,1001,Argentina,"COSTEROS, FRESQUERO",24.05,,NA
MARYSOL,,1389,Argentina,"COSTEROS, FRESQUERO",19.24,,NA
MESSINA I,,1089,Argentina,"ALTURA, FRESQUERO",27.29,,NA
MI LUCHA,,1026,Argentina,"RADA O RIA, FRESQUERO",14.2,,NA
MIRTA R,,2627,Argentina,"COSTEROS, FRESQUERO",15.5,,NA
MISAL,,2972,Argentina,"COSTEROS, FRESQUERO",19.94,,NA
MISS TIDE,,2439,Argentina,"ALTURA,PROC.CONGELADOR",52.52,,NA
NATALE,,711,Argentina,"ALTURA, FRESQUERO",19.54,,NA
NEPTUNIA I,,2125,Argentina,"COSTEROS, FRESQUERO",17.32,,NA
NEPTUNIA II,,2594,Argentina,"RADA O RIA, FRESQUERO",14.25,,NA
Nº 606 TAE BAEK,,2361,Argentina,"ALTURA,PROC.CONGELADOR",55.22,,NA
NORMAN,,1381,Argentina,"COSTEROS, FRESQUERO",21.05,,NA
NUEVA ANGELA MADRE,,792,Argentina,"RADA O RIA, FRESQUERO",13.45,,NA
NUEVA AUGUSTA,,956,Argentina,"RADA O RIA, FRESQUERO",14.7,,NA
NUEVA MADONNA DE LA GRACIA,,1189,Argentina,"RADA O RIA, FRESQUERO",12.7,,NA
NUEVA NUNCIA CONTI,,1192,Argentina,"RADA O RIA, FRESQUERO",13.04,,NA
NUEVA PREFERIDA,,227,Argentina,"RADA O RIA, FRESQUERO",12,,NA
NUEVA SAN ANTONINO ABATE,,772,Argentina,"RADA O RIA, FRESQUERO",12.7,,NA
NUEVA SANTA LUCIA,,962,Argentina,"RADA O RIA, FRESQUERO",17,,NA
NUEVA SIRACUSA,,963,Argentina,"RADA O RIA, FRESQUERO",13.29,,NA
NUEVA VIRGEN DE LUJAN,,1599,Argentina,"RADA O RIA, FRESQUERO",17.1,,NA
NUEVO ANITA,,2100,Argentina,"ALTURA,PROC.CONGELADOR",30.9,,NA
NUEVO BUENOS AIRES QUERIDO,,953,Argentina,"RADA O RIA, FRESQUERO",11.98,,NA
NUEVO RUMBO,,528,Argentina,"COSTEROS, FRESQUERO",17.95,,NA
NUEVO SIEMPRE GAUCHO,,1188,Argentina,"RADA O RIA, FRESQUERO",16.85,,NA
NUEVO VIENTO,,1449,Argentina,"ALTURA, FRESQUERO",22.23,,NA
