Nombre del buque 	Señal Distintiva 	Matrícula 	País 	Categoría (*) 	Eslora (m) 	Puerto
ATLANTIC EXPRESS 		02936 	Argentina 	ALTURA,PROC.CONGELADOR 	53.7 	
ATLANTIC SURF III 		02030 	Argentina 	ALTURA,PROC.CONGELADOR 	49.6 	
ATREVIDO 		0145 	Argentina 	ALTURA, FRESQUERO 	32.5 	
AURORA 		02581 	Argentina 	ALTURA,PROC.CONGELADOR 	67.55 	
BAFFETTA 		02635 	Argentina 	COSTEROS, FRESQUERO 	19.45 	
BAHIA DESVELOS 		0665 	Argentina 	ALTURA,PROC.CONGELADOR 	37.05 	
BAHIA ENGAÑO 		0561 	Argentina 	RADA O RIA, FRESQUERO 	17.3 	
BEAGLE I 		01842 	Argentina 	ALTURA,PROC.CONGELADOR 	59.9 	
BELVEDERE 		01398 	Argentina 	ALTURA, FRESQUERO 	26.5 	
BETTY 		0952 	Argentina 	RADA O RIA, FRESQUERO 	15.3 	
BOGAVANTE SEGUNDO 		02994 	Argentina 	ALTURA,PROC.CONGELADOR 	37.45 	
BONFIGLIO 		01234 	Argentina 	COSTEROS, FRESQUERO 	21.05 	
BORRASCA 		01095 	Argentina 	ALTURA,PROC.CONGELADOR 	39.16 	
BOUCIÑA 		01637 	Argentina 	ALTURA,PROC.CONGELADOR 	41.5 	
BUENA PESCA 		01475 	Argentina 	ALTURA, FRESQUERO 	39.1 	
CABO BUEN TIEMPO 		025 	Argentina 	ALTURA, FRESQUERO 	41.6 	
CABO BUENA ESPERANZA 		02482 	Argentina 	ALTURA, FRESQUERO 	48.1 	
CABO DE HORNOS 		01537 	Argentina 	ALTURA, FRESQUERO 	25 	
CABO DOS BAHIAS 		02483 	Argentina 	ALTURA, FRESQUERO 	48.1 	
CABO SAN JUAN 		023 	Argentina 	ALTURA, FRESQUERO 	41.6 	
CABO SAN SEBASTIAN 		022 	Argentina 	ALTURA, FRESQUERO 	41.6 	
CABO TRES PUNTAS 		01483 	Argentina 	ALTURA, FRESQUERO 	31.43 	
CABO VIRGENES 		024 	Argentina 	ALTURA, FRESQUERO 	41.6 	
CALABRIA 		0567 	Argentina 	COSTEROS, FRESQUERO 	19.63 	
CALETA PAULA 		02355 	Argentina 	COSTEROS, FRESQUERO 	15.3 	
CALIZ 		02809 	Argentina 	COSTEROS, FRESQUERO 	20.2 	
CALLEJA 		01566 	Argentina 	COSTEROS, FRESQUERO 	21.83 	
CAMERIGE 		01406 	Argentina 	ALTURA, FRESQUERO 	27.9 	
CAMILO II 		0776 	Argentina 	RADA O RIA, FRESQUERO 	14.2 	
CANAL DE BEAGLE 		0407 	Argentina 	COSTEROS, FRESQUERO 	23.9 	
CAPESANTE 		02929 	Argentina 	ALTURA,PROC.CONGELADOR 	50.15 	
CAPITAN GIACHINO 		0151 	Argentina 	ALTURA,PROC.CONGELADOR 	38.42 	
CARLO BUTTI 		01970 	Argentina 	RADA O RIA, FRESQUERO 	12.9 	
CARLOS I 		01014 	Argentina 	RADA O RIA, FRESQUERO 	17.4 	
CARMELO A 		0405 	Argentina 	COSTEROS, FRESQUERO 	21.83 	
CARMEN A 		02045 	Argentina 	COSTEROS, FRESQUERO 	15.3 	
CAROLINA P 		0176 	Argentina 	ALTURA,PROC.CONGELADOR 	71.6 	
CEFERINO NAMUNCURA 		01608 	Argentina 	RADA O RIA, FRESQUERO 	14.79 	
CEIBE DOUS 		0336 	Argentina 	ALTURA,PROC.CONGELADOR 	40.7 	
CENTAURO 2000 		0482 	Argentina 	ALTURA, FRESQUERO 	35.5 	
CENTAURO I 		01177 	Argentina 	RADA O RIA, FRESQUERO 	13.1 	
CENTURION DEL ATLANTICO 		0237 	Argentina 	ALTURA,PROC.FACTORIA 	112.8 	
CERES 		01420 	Argentina 	ALTURA,PROC.CONGELADOR 	60.74 	
CETUS 		0530 	Argentina 	ALTURA,PROC.CONGELADOR 	59.55 	
CHATKA I 		02893 	Argentina 	COSTEROS, FRESQUERO 	16.73 	
CHIARPESCA 56 		01090 	Argentina 	ALTURA, FRESQUERO 	38.3 	
CHIARPESCA 902 		02110 	Argentina 	ALTURA,PROC.CONGELADOR 	59.3 	
CHIARPESCA 903 		02109 	Argentina 	ALTURA,PROC.CONGELADOR 	64.1 	
CHOKYU MARU Nº 18. 		02584 	Argentina 	ALTURA,PROC.CONGELADOR 	68.7 	
CHUBASCO 		01184 	Argentina 	COSTEROS, FRESQUERO 	19.95 	
CIUDAD DE DIAMANTE 		0527 	Argentina 	COSTEROS, FRESQUERO 	17.45 	
CIUDAD DE HUELVA 		01519 	Argentina 	ALTURA, FRESQUERO 	27.45 	
CIUDAD FELIZ 		0910 	Argentina 	ALTURA, FRESQUERO 	28.56 	
CLAUDINA 		02345 	Argentina 	ALTURA,PROC.CONGELADOR 	53.58 	
COALSA SEGUNDO 		0790 	Argentina 	ALTURA,PROC.CONGELADOR 	76.2 	
CODEPECA III 		0506 	Argentina 	ALTURA,PROC.CONGELADOR 	36.81 	
CODEPECA IV 		01012 	Argentina 	ALTURA,PROC.CONGELADOR 	36.85 	
COMANDANTE LUIS PIEDRABUENA 		0767 	Argentina 	ALTURA, FRESQUERO 	25 	
CONARA I 		0201 	Argentina 	ALTURA,PROC.CONGELADOR 	38.67 	
CONARPESA I 		0200 	Argentina 	ALTURA,PROC.CONGELADOR 	52.5 	
CONAVAL II 		01180 	Argentina 	RADA O RIA, FRESQUERO 	12.42 	
CONSTANCIA 		0971 	Argentina 	COSTEROS, FRESQUERO 	21.22 	
CONTE VIANCAMANO 		0341M 	Argentina 	RADA O RIA, FRESQUERO 	9.8 	
CORAJE 		0645 	Argentina 	ALTURA, FRESQUERO 	28.28 	
CORAL BLANCO 		0409 	Argentina 	ALTURA,PROC.CONGELADOR 	50.75 	
CRISTINA ANTONIA 		01824 	Argentina 	RADA O RIA, FRESQUERO 	13.04 	
CRISTO REDENTOR 		01185 	Argentina 	ALTURA, FRESQUERO 	31 	
CRISTO REY 		0931 	Argentina 	RADA O RIA, FRESQUERO 	14.37 	
DANNY 		0520 	Argentina 	RADA O RIA, FRESQUERO 	11.89 	
DASA 508 		0499 	Argentina 	ALTURA,PROC.CONGELADOR 	52.8 	
DASA 757 		02200 	Argentina 	ALTURA,PROC.CONGELADOR 	52.7 	
DEPASUR I 		0330 	Argentina 	ALTURA,PROC.CONGELADOR 	53.12 	
DESAFIO 		0177 	Argentina 	ALTURA, FRESQUERO 	29.56 	
